task_id,model_version,clarity_score,motion_score,style_score,human_score,complaint_flag
T00003710,Model_A,2.69,3.05,3.93,3.12,0
T00003712,Model_A,3.66,2.82,3.61,3.27,0
T00003714,Model_A,2.81,3.14,3.21,3.31,0
T00003721,Model_A,3.94,3.42,3.45,3.63,0
T00003724,Model_A,4.31,3.77,3.63,3.93,0
T00003728,Model_A,3.46,2.86,2.6,3.25,0
T00003733,Model_A,4.15,2.58,4.19,3.56,0
T00003734,Model_A,3.82,3.81,3.84,3.67,0
T00003736,Model_A,4.01,3.65,4.04,3.9,0
T00003739,Model_A,3.77,3.65,3.66,3.64,0
T00003740,Model_A,3.81,3.62,3.25,3.67,0
T00003752,Model_A,4.07,3.33,3.98,3.86,0
T00003755,Model_A,3.59,3.7,2.73,3.55,0
T00003761,Model_A,3.23,3.21,3.51,3.35,0
T00003765,Model_A,3.83,3.57,4.49,3.96,0
T00003770,Model_A,3.32,3.51,3.8,3.73,0
T00003771,Model_A,3.86,3.92,3.57,4.06,0
T00003775,Model_A,3.67,2.86,3.38,3.38,0
T00003778,Model_A,4.37,2.66,4.01,3.72,0
T00003782,Model_A,3.39,3.43,3.31,3.31,0
T00003783,Model_A,3.34,3.39,3.16,3.31,0
T00003784,Model_A,2.98,4.26,3.99,3.86,0
T00003787,Model_A,4.03,2.82,3.36,3.55,0
T00003790,Model_A,3.26,2.58,3.79,3.17,0
T00003794,Model_A,3.53,4.14,3.95,3.69,0
T00003799,Model_A,2.96,3.01,2.81,2.69,0
T00003800,Model_A,3.81,3.31,3.68,3.62,0
T00003801,Model_A,4.24,3.48,3.79,3.81,0
T00003803,Model_A,4.21,3.96,3.23,3.78,0
T00003808,Model_A,3.86,2.99,2.44,2.98,0
T00003813,Model_A,3.8,2.57,3.01,3.13,0
T00003814,Model_A,3.85,3.96,3.9,4.0,0
T00003816,Model_A,3.2,3.77,3.67,3.69,0
T00003817,Model_A,4.13,4.08,3.21,3.75,0
T00003820,Model_A,3.36,2.8,3.56,3.29,0
T00003822,Model_A,3.2,3.66,3.93,3.12,0
T00003823,Model_A,3.91,3.31,3.26,3.56,0
T00003826,Model_A,3.72,3.66,3.23,3.55,0
T00003830,Model_A,3.89,3.21,3.18,3.35,0
T00003831,Model_A,2.57,3.6,3.63,3.19,0
T00003833,Model_A,3.03,3.53,3.61,3.31,0
T00003834,Model_A,4.49,3.61,3.48,3.92,0
T00003837,Model_A,3.22,3.69,3.73,3.23,0
T00003838,Model_A,3.67,3.28,3.36,3.59,0
T00003843,Model_A,2.87,3.86,3.34,3.51,0
T00003845,Model_A,3.68,3.72,4.08,4.0,0
T00003851,Model_A,3.36,3.79,3.32,3.45,0
T00003855,Model_A,3.94,2.74,3.15,3.43,1
T00003857,Model_A,3.74,3.64,3.41,3.59,0
T00003858,Model_A,4.01,2.66,4.23,3.63,0
T00003859,Model_A,3.51,3.35,3.26,3.27,0
T00003860,Model_A,4.03,3.7,3.57,3.94,0
T00003863,Model_A,4.25,3.43,2.28,3.46,0
T00003866,Model_A,3.63,3.32,3.32,3.23,0
T00003874,Model_A,3.18,3.31,3.63,3.16,0
T00003880,Model_A,3.38,3.16,4.15,3.36,0
T00003891,Model_A,3.72,4.35,3.69,4.07,0
T00003893,Model_A,3.53,3.66,4.51,4.13,0
T00003894,Model_A,2.63,4.45,4.32,3.73,0
T00003895,Model_A,3.91,4.31,3.48,3.91,0
T00003897,Model_A,3.01,4.27,3.31,3.54,0
T00003899,Model_A,3.57,3.21,2.86,3.18,0
T00003906,Model_A,2.83,3.44,3.19,3.24,0
T00003911,Model_A,3.54,3.29,4.13,3.73,0
T00003920,Model_A,3.83,4.01,3.74,3.63,0
T00003921,Model_A,3.25,4.37,3.72,3.73,0
T00003922,Model_A,3.55,3.84,3.15,3.66,0
T00003924,Model_A,3.11,3.22,3.45,3.27,0
T00003926,Model_A,3.18,3.29,3.17,3.06,0
T00003927,Model_A,3.43,3.91,3.44,3.34,0
T00003929,Model_A,3.75,3.1,3.11,3.11,0
T00003931,Model_A,3.82,3.54,3.43,3.49,0
T00003933,Model_A,4.33,4.03,4.11,4.11,0
T00003936,Model_A,3.78,3.98,3.53,3.7,0
T00003944,Model_A,3.66,4.26,2.97,3.4,0
T00003945,Model_A,3.35,3.08,3.46,2.95,0
T00003949,Model_A,3.75,2.91,3.35,3.38,0
T00003950,Model_A,3.93,3.4,3.93,4.1,0
T00003951,Model_A,3.81,4.19,3.34,3.93,0
T00003952,Model_A,3.38,2.95,4.18,3.38,0
T00003953,Model_A,2.98,4.04,3.96,3.7,0
T00003959,Model_A,3.12,3.7,3.9,3.69,0
T00003960,Model_A,3.57,2.5,3.46,3.34,0
T00003964,Model_A,3.58,3.62,4.49,3.87,0
T00003965,Model_A,3.74,4.04,3.32,3.66,1
T00003966,Model_A,3.43,4.28,3.48,3.88,0
T00003973,Model_A,2.72,4.34,3.98,3.67,0
T00003976,Model_A,3.99,3.61,2.96,3.55,0
T00003977,Model_A,4.29,3.56,3.31,3.8,0
T00003987,Model_A,3.3,3.33,3.35,3.39,0
T00003988,Model_A,3.58,3.74,2.72,3.3,0
T00003990,Model_A,3.37,4.42,3.93,3.96,0
T00003991,Model_A,3.52,4.67,3.6,3.99,0
T00003992,Model_A,3.37,4.35,3.11,3.97,0
T00003996,Model_A,3.69,2.56,3.4,3.39,0
T00003999,Model_A,3.24,4.12,3.31,3.56,0
T00004000,Model_A,3.46,3.74,3.05,3.71,0
T00004001,Model_A,3.4,3.85,4.16,4.17,0
T00004006,Model_A,3.16,3.94,3.44,3.45,0
T00004007,Model_A,3.51,3.34,3.21,3.59,0
T00004009,Model_A,3.89,3.69,3.38,3.64,0
T00004010,Model_A,3.62,3.66,2.9,3.38,0
T00004017,Model_A,3.83,2.93,3.25,3.4,0
T00004018,Model_A,3.96,3.24,3.52,3.5,0
T00004020,Model_A,3.35,4.11,3.49,3.28,0
T00004022,Model_A,2.75,3.88,3.56,3.38,0
T00004023,Model_A,2.8,3.61,3.45,3.41,0
T00004025,Model_A,3.51,3.43,3.14,3.66,0
T00004028,Model_A,2.78,4.04,3.11,3.21,0
T00004031,Model_A,3.59,4.51,3.16,3.83,0
T00004032,Model_A,3.57,3.95,3.72,3.48,0
T00004041,Model_A,2.83,3.96,4.33,3.87,0
T00004043,Model_A,2.96,3.08,3.75,3.18,0
T00004054,Model_A,4.41,3.15,2.99,3.65,0
T00004056,Model_A,3.81,3.3,3.4,3.47,0
T00004061,Model_A,3.52,3.97,3.3,3.72,0
T00004063,Model_A,3.62,3.88,3.05,3.76,0
T00004066,Model_A,3.32,3.7,3.78,3.38,0
T00004069,Model_A,3.59,3.17,3.03,3.13,0
T00004070,Model_A,3.62,3.56,3.75,3.86,0
T00004071,Model_A,4.12,4.05,4.06,4.05,0
T00004073,Model_A,4.14,4.18,3.67,3.89,0
T00004074,Model_A,3.36,3.36,3.85,3.43,0
T00004079,Model_A,3.75,3.37,2.69,3.24,0
T00004080,Model_A,3.01,2.88,3.4,2.79,0
T00004091,Model_A,4.37,3.36,3.75,3.85,0
T00004096,Model_A,4.13,3.99,4.05,3.83,0
T00004101,Model_A,3.08,3.62,3.74,3.41,0
T00004108,Model_A,3.1,3.34,3.98,3.51,0
T00004109,Model_A,3.75,3.39,3.3,3.72,0
T00004110,Model_A,4.08,3.09,3.52,3.66,0
T00004114,Model_A,2.66,3.88,2.86,2.96,0
T00004123,Model_A,3.12,3.4,3.83,3.47,0
T00004126,Model_A,3.92,3.13,3.87,3.61,0
T00004131,Model_A,4.1,3.69,2.83,3.69,0
T00004132,Model_A,3.75,3.28,3.03,3.46,0
T00004133,Model_A,3.44,3.01,3.04,3.08,0
T00004135,Model_A,3.24,3.16,3.93,3.54,0
T00004136,Model_A,3.12,3.49,2.67,3.05,0
T00004139,Model_A,4.15,4.23,3.41,3.78,0
T00004144,Model_A,4.03,4.25,3.09,3.99,0
T00004145,Model_A,4.16,4.17,4.89,4.56,0
T00004147,Model_A,4.08,3.68,3.06,3.82,0
T00004148,Model_A,3.56,4.03,3.76,3.83,0
T00004150,Model_A,2.96,3.6,3.53,3.59,0
T00004152,Model_A,3.1,3.2,4.12,3.24,0
T00004153,Model_A,3.76,3.46,4.24,3.74,0
T00004155,Model_A,3.58,3.8,3.44,3.84,0
T00004156,Model_A,4.47,2.64,3.37,3.59,0
T00004158,Model_A,3.3,3.8,3.93,3.62,0
T00004160,Model_A,3.78,2.91,1.94,3.18,0
T00004172,Model_A,3.95,3.31,3.92,3.88,0
T00004174,Model_A,3.21,3.04,3.71,3.41,0
T00004178,Model_A,2.98,3.4,2.57,3.26,1
T00004179,Model_A,3.4,4.27,2.81,3.39,0
T00004182,Model_A,3.78,4.07,3.08,3.72,0
T00004184,Model_A,5.0,3.88,3.77,4.26,0
T00004186,Model_A,3.52,2.65,4.09,3.39,0
T00004188,Model_A,3.78,2.9,3.45,3.63,0
T00004190,Model_A,3.58,3.48,3.61,3.39,0
T00004192,Model_A,3.28,3.43,3.54,3.3,0
T00004200,Model_A,3.25,3.18,2.9,3.02,0
T00004201,Model_A,3.35,3.35,3.63,3.58,0
T00004206,Model_A,3.01,2.67,3.1,2.65,0
T00004210,Model_A,2.89,3.51,3.38,3.42,0
T00004215,Model_A,4.65,3.1,3.91,3.8,0
T00004217,Model_A,3.58,3.47,4.69,3.49,0
T00004220,Model_A,3.84,4.27,3.46,3.97,0
T00004221,Model_A,2.77,3.09,3.32,3.21,1
T00004226,Model_A,3.45,2.66,2.65,2.99,0
T00004229,Model_A,3.3,3.18,2.85,3.16,0
T00004233,Model_A,4.56,3.89,4.56,4.49,0
T00004236,Model_A,3.51,3.76,3.25,3.25,0
T00004237,Model_A,2.71,3.61,3.5,3.33,0
T00004241,Model_A,3.36,4.33,4.05,3.73,0
T00004245,Model_A,3.21,3.39,2.87,3.31,0
T00004253,Model_A,3.71,3.2,2.54,2.99,0
T00004258,Model_A,4.14,3.65,2.99,3.7,0
T00004259,Model_A,4.33,3.66,3.01,3.84,0
T00004261,Model_A,3.93,4.37,3.78,4.09,0
T00004263,Model_A,4.37,3.56,4.15,4.25,0
T00004265,Model_A,2.97,1.88,3.02,2.84,0
T00004266,Model_A,3.53,3.97,3.81,3.64,0
T00004274,Model_A,3.77,3.38,3.51,3.27,0
T00004279,Model_A,3.26,2.67,3.0,3.03,0
T00004285,Model_A,2.98,4.08,3.64,3.43,0
T00004287,Model_A,3.52,2.94,3.59,3.25,0
T00004289,Model_A,3.54,3.55,3.48,3.46,0
T00004290,Model_A,3.97,3.43,3.34,3.91,0
T00004291,Model_A,3.49,3.79,3.46,4.0,0
T00004293,Model_A,4.1,4.54,3.56,3.75,0
T00004300,Model_A,3.6,3.74,3.97,3.65,0
T00004306,Model_A,4.03,3.58,3.36,3.56,0
T00004313,Model_A,4.47,4.04,3.36,3.98,0
T00004318,Model_A,2.71,3.52,4.19,3.69,0
T00004319,Model_A,4.07,3.71,4.11,3.87,0
T00004320,Model_A,2.98,3.06,3.56,3.39,0
T00004326,Model_A,3.83,4.62,4.12,4.12,0
T00004330,Model_A,3.44,3.55,3.05,3.62,0
T00004331,Model_A,4.11,3.41,3.26,3.7,0
T00004332,Model_A,3.55,3.12,3.04,3.01,0
T00004333,Model_A,4.07,4.07,3.73,4.08,0
T00004346,Model_A,3.84,3.3,3.56,3.31,0
T00004347,Model_A,3.72,3.78,2.33,3.26,0
T00004350,Model_A,4.01,4.25,3.65,4.07,0
T00004351,Model_A,3.41,3.09,3.3,3.42,0
T00004354,Model_A,3.1,3.78,3.81,3.42,0
T00004355,Model_A,4.75,3.6,2.79,3.67,0
T00004359,Model_A,3.41,3.69,4.01,3.46,0
T00004367,Model_A,2.96,3.45,3.83,3.44,0
T00004368,Model_A,3.58,4.29,3.41,3.87,0
T00004373,Model_A,3.36,2.99,4.31,3.46,0
T00004374,Model_A,3.35,4.64,2.58,3.55,0
T00004375,Model_A,3.92,3.94,3.92,4.01,0
T00004376,Model_A,3.61,4.23,2.47,3.49,0
T00004379,Model_A,3.92,3.1,3.86,3.62,0
T00004383,Model_A,4.54,4.18,3.37,3.96,0
T00004385,Model_A,4.25,4.12,2.94,3.95,0
T00004388,Model_A,3.66,3.74,3.73,3.63,0
T00004399,Model_A,3.7,4.11,3.21,3.93,0
T00004401,Model_A,3.53,3.53,3.69,3.68,0
T00004405,Model_A,3.48,4.19,3.27,3.85,0
T00004406,Model_A,2.86,3.24,4.48,3.59,0
T00004407,Model_A,3.52,3.41,4.05,3.53,0
T00004409,Model_A,4.46,3.01,3.1,3.7,0
T00004411,Model_A,3.97,3.07,3.44,3.61,0
T00004418,Model_A,3.73,2.72,4.03,3.33,0
T00004419,Model_A,4.23,3.69,3.39,4.04,0
T00004420,Model_A,3.32,3.36,3.31,3.21,0
T00004422,Model_A,3.94,4.39,3.02,3.97,0
T00004425,Model_A,3.6,2.99,3.24,3.23,0
T00004429,Model_A,3.28,3.4,3.52,3.31,0
T00004430,Model_A,4.53,3.89,3.57,4.16,0
T00004436,Model_A,3.46,3.2,3.27,3.41,0
T00004438,Model_A,3.87,3.34,3.26,3.62,0
T00004446,Model_A,3.12,3.5,3.5,3.43,0
T00004447,Model_A,3.1,3.52,3.69,3.33,0
T00004449,Model_A,4.29,3.6,3.97,3.75,0
T00004453,Model_A,4.2,2.9,3.11,3.13,0
T00004461,Model_A,3.83,3.14,3.57,3.42,0
T00004464,Model_A,3.22,3.56,3.82,3.53,0
T00004465,Model_A,3.08,3.83,3.94,3.5,0
T00004466,Model_A,3.03,3.43,3.03,3.09,0
T00004467,Model_A,3.32,3.15,3.31,3.41,0
T00004470,Model_A,3.58,3.95,3.41,3.84,0
T00004472,Model_A,3.71,3.33,3.49,3.65,0
T00004476,Model_A,4.48,2.96,4.15,4.19,0
T00004477,Model_A,3.69,2.37,4.44,3.77,0
T00004478,Model_A,3.35,2.69,3.98,3.23,0
T00004479,Model_A,3.67,3.97,3.45,3.75,0
T00004480,Model_A,4.24,3.23,3.39,3.9,0
T00004486,Model_A,4.36,3.48,3.27,3.55,0
T00004487,Model_A,3.53,3.23,3.07,2.93,0
T00004489,Model_A,4.0,3.37,4.76,3.93,0
T00004490,Model_A,4.79,4.04,3.42,4.33,0
T00004493,Model_A,3.72,3.52,3.86,3.67,0
T00004496,Model_A,4.06,3.47,2.71,3.22,0
T00004498,Model_A,3.13,4.3,2.34,3.3,0
T00004499,Model_A,3.91,4.3,2.62,3.79,0
T00004503,Model_A,3.94,2.57,2.55,3.02,0
T00004505,Model_A,4.05,2.53,2.76,3.12,0
T00004509,Model_A,3.16,4.5,3.46,3.7,0
T00004512,Model_A,4.66,3.24,2.45,3.5,0
T00004514,Model_A,4.04,3.22,4.24,3.94,0
T00004515,Model_A,3.54,3.74,3.67,3.45,0
T00004519,Model_A,3.83,3.29,3.33,3.56,0
T00004520,Model_A,3.77,4.23,3.97,4.15,0
T00004524,Model_A,3.51,3.68,3.28,3.67,0
T00004526,Model_A,3.52,3.02,3.7,3.46,0
T00004532,Model_A,3.63,3.46,3.2,3.49,0
T00004535,Model_A,3.79,3.69,3.88,3.98,0
T00004536,Model_A,3.34,3.99,4.1,3.78,0
T00004537,Model_A,3.2,3.61,3.89,3.55,0
T00004540,Model_A,3.06,3.12,3.15,3.15,0
T00004541,Model_A,4.09,4.46,3.48,4.15,0
T00004543,Model_A,4.2,3.3,2.72,3.6,0
T00004551,Model_A,3.75,4.26,4.3,4.27,0
T00004556,Model_A,2.62,3.93,4.44,3.46,0
T00004564,Model_A,3.98,3.74,3.16,3.69,0
T00004566,Model_A,2.96,3.63,4.2,3.82,0
T00004568,Model_A,3.39,4.05,3.53,3.68,0
T00004575,Model_A,3.2,3.61,3.34,3.38,0
T00004576,Model_A,4.26,3.28,2.73,3.44,0
T00004578,Model_A,3.22,2.87,2.61,2.68,0
T00004580,Model_A,3.75,3.53,4.19,3.82,0
T00004586,Model_A,4.02,3.75,3.39,3.79,1
T00004591,Model_A,3.0,3.68,4.49,3.94,0
T00004598,Model_A,3.28,3.08,3.51,3.16,0
T00004605,Model_A,4.28,4.28,3.38,3.9,0
T00004607,Model_A,4.08,3.65,3.76,3.8,0
T00004611,Model_A,3.27,3.32,2.71,3.41,0
T00004612,Model_A,3.4,3.34,3.14,3.35,0
T00004614,Model_A,3.58,3.78,3.61,3.67,0
T00004618,Model_A,3.09,3.53,3.31,3.21,0
T00004620,Model_A,3.89,3.75,2.65,3.5,0
T00004625,Model_A,4.18,3.09,4.54,3.85,0
T00004626,Model_A,3.58,4.43,4.23,3.98,0
T00004628,Model_A,3.45,3.25,3.23,2.98,0
T00004630,Model_A,3.39,3.63,3.69,3.62,0
T00004631,Model_A,3.72,3.52,4.0,3.61,0
T00004632,Model_A,2.92,3.06,3.57,3.14,0
T00004639,Model_A,3.56,4.08,4.74,4.04,0
T00004640,Model_A,3.31,2.77,2.74,2.83,0
T00004642,Model_A,3.12,3.19,3.66,3.3,0
T00004643,Model_A,3.82,3.1,2.86,3.44,0
T00004648,Model_A,4.34,3.6,4.06,4.05,0
T00004658,Model_A,3.48,3.98,2.91,3.41,0
T00004659,Model_A,3.75,3.59,3.44,3.6,0
T00004662,Model_A,3.69,3.48,4.06,3.78,0
T00004663,Model_A,3.98,3.25,3.37,3.73,0
T00004668,Model_A,3.35,3.15,3.79,3.47,0
T00004676,Model_A,4.19,4.02,3.85,3.9,0
T00004677,Model_A,3.89,3.8,3.59,3.86,0
T00004678,Model_A,2.93,4.18,3.4,3.49,0
T00004682,Model_A,3.7,4.0,4.69,4.22,0
T00004684,Model_A,3.62,4.01,3.57,3.92,0
T00004688,Model_A,4.34,4.38,2.26,3.73,0
T00004689,Model_A,3.21,3.61,3.47,3.67,0
T00004690,Model_A,3.59,3.68,3.69,3.57,0
T00004691,Model_A,2.75,2.67,3.47,2.95,0
T00004692,Model_A,3.87,3.77,3.11,3.56,0
T00004694,Model_A,3.06,3.6,3.88,3.46,0
T00004695,Model_A,3.77,3.78,4.09,3.8,0
T00004701,Model_A,3.93,2.94,4.28,3.69,0
T00004702,Model_A,3.38,3.51,3.37,3.24,0
T00004703,Model_A,3.89,3.13,2.93,3.17,0
T00004705,Model_A,3.73,3.2,3.6,3.76,0
T00004706,Model_A,3.3,3.49,2.76,3.14,0
T00004708,Model_A,3.64,3.77,3.19,3.44,0
T00004711,Model_A,3.97,4.03,2.7,3.78,0
T00004713,Model_A,3.57,2.96,4.36,3.51,0
T00004714,Model_A,3.66,3.68,3.72,3.58,0
T00004718,Model_A,3.37,3.27,3.35,3.33,0
T00004719,Model_A,4.18,3.21,3.61,3.78,0
T00004720,Model_A,3.17,2.62,4.18,3.35,0
T00004726,Model_A,3.55,4.07,2.62,3.19,0
T00004727,Model_A,3.78,4.44,3.78,3.85,0
T00004729,Model_A,3.06,2.88,3.21,2.78,0
T00004730,Model_A,4.65,3.48,2.9,3.52,0
T00004733,Model_A,3.4,4.1,3.14,3.53,0
T00004736,Model_A,4.1,4.05,3.47,3.84,0
T00004737,Model_A,3.52,2.7,3.85,3.08,0
T00004739,Model_A,3.94,3.05,3.25,3.3,0
T00004740,Model_A,2.94,3.73,3.39,3.27,0
T00004744,Model_A,3.85,3.76,3.03,3.96,0
T00004746,Model_A,3.67,3.23,4.05,3.58,0
T00004748,Model_A,3.65,3.33,4.4,4.03,0
T00004749,Model_A,3.49,3.22,3.4,3.28,0
T00004756,Model_A,3.97,2.7,2.82,3.17,0
T00004759,Model_A,4.14,3.26,3.15,3.57,0
T00004761,Model_A,3.77,3.77,2.75,3.31,0
T00004763,Model_A,4.04,3.57,2.49,3.53,0
T00004765,Model_A,3.27,3.77,3.06,3.48,0
T00004766,Model_A,4.05,4.36,3.31,4.08,0
T00004769,Model_A,3.29,3.43,3.78,3.56,0
T00004776,Model_A,4.04,2.97,3.74,3.47,0
T00004777,Model_A,3.52,3.84,2.76,3.4,0
T00004784,Model_A,3.37,4.09,3.22,3.53,0
T00004787,Model_A,3.27,3.63,4.19,3.8,0
T00004796,Model_A,3.46,3.89,3.47,3.88,0
T00004807,Model_A,3.72,3.31,2.76,3.34,0
T00004808,Model_A,3.82,3.79,3.38,3.8,0
T00004828,Model_A,3.01,4.04,2.83,3.32,0
T00004829,Model_A,4.14,4.25,3.86,3.99,0
T00004832,Model_A,4.17,3.98,3.78,3.73,0
T00004834,Model_A,4.84,3.06,3.21,3.96,0
T00004840,Model_A,4.44,3.31,3.91,3.97,0
T00004843,Model_A,3.67,3.99,3.02,3.66,0
T00004851,Model_A,4.11,3.5,4.5,3.71,0
T00004852,Model_A,3.72,3.0,3.48,3.36,0
T00004855,Model_A,2.94,3.32,3.47,3.27,0
T00004856,Model_A,3.68,4.25,3.09,3.53,0
T00004857,Model_A,3.2,3.64,2.79,3.17,0
T00004859,Model_A,3.61,3.49,4.06,3.56,0
T00004860,Model_A,3.92,4.15,3.58,3.83,0
T00004861,Model_A,3.83,3.59,3.53,3.65,0
T00004865,Model_A,4.16,3.93,3.18,3.68,0
T00004872,Model_A,3.63,3.41,3.28,3.59,0
T00004876,Model_A,3.68,3.53,3.33,3.6,0
T00004878,Model_A,3.53,4.36,3.83,3.96,0
T00004883,Model_A,4.64,3.74,3.81,3.93,0
T00004885,Model_A,3.67,3.2,3.71,3.29,0
T00004891,Model_A,3.6,3.33,2.97,3.26,0
T00004896,Model_A,3.23,3.22,3.47,3.04,0
T00004898,Model_A,4.57,3.56,3.09,4.06,0
T00004899,Model_A,3.68,3.95,2.84,3.6,0
T00004901,Model_A,2.5,3.68,3.02,3.28,0
T00004903,Model_A,3.71,4.56,3.68,4.06,0
T00004905,Model_A,3.63,3.99,3.81,4.05,0
T00004906,Model_A,3.7,3.07,3.79,3.36,0
T00004907,Model_A,2.86,4.09,3.64,3.37,0
T00004909,Model_A,3.5,2.63,3.9,3.62,0
T00004913,Model_A,3.55,3.52,3.84,3.63,0
T00004915,Model_A,3.8,4.0,2.97,3.66,0
T00004916,Model_A,3.49,3.63,4.02,3.62,1
T00004921,Model_A,2.16,3.72,2.99,3.01,0
T00004927,Model_A,3.2,3.84,3.36,3.33,0
T00004928,Model_A,4.3,4.11,2.82,3.59,0
T00004931,Model_A,3.74,3.57,2.25,3.15,0
T00004932,Model_A,4.26,3.71,2.77,3.53,0
T00004939,Model_A,3.66,3.76,3.79,3.6,0
T00004940,Model_A,4.02,2.5,3.48,3.49,1
T00004943,Model_A,3.65,3.87,3.46,3.55,0
T00004948,Model_A,3.67,4.03,4.05,3.81,0
T00004949,Model_A,3.8,3.37,3.03,3.55,0
T00004951,Model_A,4.1,3.68,3.82,3.71,0
T00004953,Model_A,3.75,3.79,3.6,3.75,0
T00004955,Model_A,3.78,3.86,4.09,3.91,0
T00004956,Model_A,3.72,3.14,3.55,3.88,0
T00004960,Model_A,3.13,3.67,3.73,3.5,0
T00004964,Model_A,3.72,3.44,3.98,3.68,0
T00004966,Model_A,4.11,4.0,3.68,4.14,0
T00004968,Model_A,3.18,2.76,3.09,3.09,0
T00004969,Model_A,4.38,4.19,2.33,3.96,0
T00004971,Model_A,3.44,3.24,3.96,3.58,0
T00004974,Model_A,3.5,3.64,3.1,3.32,0
T00004975,Model_A,3.62,3.13,2.95,3.27,0
T00004977,Model_A,3.7,3.78,3.18,3.74,0
T00004979,Model_A,3.62,3.49,3.12,3.56,0
T00004982,Model_A,3.61,3.76,3.76,3.63,0
T00004985,Model_A,3.19,3.15,2.93,3.37,0
T00004990,Model_A,3.64,4.15,2.38,3.13,0
T00004992,Model_A,4.41,4.1,3.17,3.98,0
T00004995,Model_A,3.6,4.3,3.27,3.66,0
T00004996,Model_A,3.4,3.76,3.65,3.65,0
T00004997,Model_A,3.9,3.92,3.46,3.61,0
T00004998,Model_A,3.59,3.44,3.02,3.38,0
T00005006,Model_A,4.36,3.77,3.78,4.04,0
T00005007,Model_A,3.35,3.65,3.34,3.52,0
T00005012,Model_A,3.05,3.78,4.12,3.71,0
T00005014,Model_A,2.93,3.26,3.58,3.16,0
T00005018,Model_A,3.49,3.13,3.48,3.31,0
T00005019,Model_A,3.83,3.55,3.15,3.69,0
T00005020,Model_A,3.24,2.75,3.35,3.18,0
T00005021,Model_A,4.5,3.0,2.47,3.33,0
T00005023,Model_A,4.25,3.31,3.57,3.93,0
T00005027,Model_A,3.13,3.64,2.76,3.37,0
T00005030,Model_A,3.62,4.03,3.18,4.03,0
T00005033,Model_A,3.5,3.24,3.05,3.22,0
T00005037,Model_A,3.14,3.31,4.6,3.65,0
T00005038,Model_A,3.79,3.88,3.01,3.58,0
T00005049,Model_A,4.2,3.65,3.15,3.76,0
T00005050,Model_A,4.16,3.64,4.07,3.92,0
T00005052,Model_A,3.33,4.13,3.76,3.79,0
T00005053,Model_A,3.28,3.71,3.2,3.58,0
T00005064,Model_A,3.49,3.37,3.21,3.2,0
T00005066,Model_A,3.56,3.42,3.59,3.63,0
T00005067,Model_A,3.96,3.04,2.76,3.37,0
T00005072,Model_A,4.21,3.89,3.34,3.94,0
T00005075,Model_A,2.97,4.11,5.0,3.79,0
T00005077,Model_A,4.27,3.59,3.02,3.8,0
T00005082,Model_A,3.46,3.81,2.96,3.35,0
T00005086,Model_A,4.23,3.73,3.05,3.32,0
T00005087,Model_A,3.65,3.21,2.5,3.48,0
T00005089,Model_A,4.47,4.83,3.58,4.5,0
T00005095,Model_A,4.11,2.57,3.66,3.46,0
T00005102,Model_A,4.04,3.41,3.2,3.5,0
T00005105,Model_A,3.03,3.18,3.38,3.03,0
T00005107,Model_A,3.42,3.46,4.44,3.5,0
T00005109,Model_A,4.19,3.46,3.74,3.69,0
T00005121,Model_A,3.42,3.03,4.65,3.64,0
T00005124,Model_A,3.42,3.49,3.83,3.45,0
T00005129,Model_A,3.83,2.74,3.99,3.28,0
T00005135,Model_A,4.35,3.59,3.74,3.82,0
T00005140,Model_A,1.67,3.5,2.59,2.47,0
T00005145,Model_A,4.07,4.04,2.99,3.95,0
T00005147,Model_A,3.09,3.42,2.96,3.45,0
T00005150,Model_A,3.19,2.9,3.2,2.95,0
T00005154,Model_A,3.69,3.62,3.22,3.67,0
T00005157,Model_A,3.27,3.04,2.68,2.95,0
T00005162,Model_A,3.64,3.79,3.53,3.46,0
T00005163,Model_A,3.71,3.61,3.72,3.47,0
T00005164,Model_A,3.37,3.51,3.59,3.44,0
T00005167,Model_A,3.37,3.68,3.84,4.13,0
T00005168,Model_A,3.69,3.37,2.97,3.05,0
T00005169,Model_A,3.79,4.58,3.25,3.86,0
T00005174,Model_A,3.52,3.81,3.41,3.46,0
T00005176,Model_A,3.13,4.1,3.25,2.94,0
T00005177,Model_A,3.67,4.01,3.61,3.69,0
T00005180,Model_A,3.58,3.67,2.45,3.25,0
T00005181,Model_A,3.11,4.47,3.38,3.58,0
T00005182,Model_A,4.04,3.85,3.15,3.71,0
T00005190,Model_A,3.91,3.65,3.15,3.44,0
T00005191,Model_A,4.44,3.89,3.85,4.14,0
T00005195,Model_A,3.24,3.52,3.57,3.5,0
T00005196,Model_A,3.9,3.15,3.52,3.59,0
T00005198,Model_A,3.31,3.62,3.8,3.69,0
T00005200,Model_A,3.54,3.16,3.79,3.39,0
T00005201,Model_A,3.03,4.03,3.7,3.82,0
T00005203,Model_A,3.27,3.07,2.91,2.99,0
T00005208,Model_A,4.12,3.22,3.88,3.63,0
T00005214,Model_A,2.58,3.05,3.15,2.96,0
T00005215,Model_A,4.09,3.3,3.76,3.86,0
T00005217,Model_A,3.98,3.54,3.59,3.77,0
T00005222,Model_A,3.55,3.57,2.8,3.25,0
T00005223,Model_A,3.11,3.51,3.0,3.28,0
T00005228,Model_A,3.95,3.34,3.57,3.2,0
T00005229,Model_A,3.41,3.73,2.91,3.27,0
